15:08:31.511 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15:08:31.706 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:sample user=
15:08:31.706 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15:08:31.722 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
15:08:31.753 [main] INFO  o.f.c.i.database.base.DatabaseType - Database: jdbc:h2:mem:sample (H2 1.4)
15:08:31.822 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.031s)
15:08:31.833 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."flyway_schema_history" ...
15:08:31.865 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.865 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.880 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": << Empty Schema >>
15:08:31.896 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "1 - ddl"
15:08:31.896 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.896 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.896 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.896 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.896 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:31.912 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
15:08:32.021 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "2 - dml"
15:08:32.023 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.024 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.024 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.025 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.026 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.026 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.027 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.027 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.027 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.028 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.028 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.029 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.029 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.030 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.030 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.030 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.031 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.031 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.031 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.032 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.032 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.033 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.033 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.034 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.034 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.034 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.035 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.035 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.036 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.036 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.037 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.037 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.037 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.038 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.038 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.038 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.039 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.039 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.039 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
